pos,pos,pos,pos,pos,pos,pos,pos,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg,coding
AABD,ADCD,DCCB,AACD,DDCA,CBCC,DCCC,DACA,AAAB,BAAB,BCBC,CBDD,DACC,CCAC,BBBC,DDDC,BAAB,AACA,AADAA
AAAD,BADA,BBAD,DBDA,BDDA,DCAC,ADAC,BDAA,DDDD,DCBB,DABC,BBCA,DBAA,BDAA,CBBA,DBAB,CBDD,DBBB,DBDCA
DDDD,AABC,CCCD,AACA,BCDB,DAAC,BCCA,DABD,CBCA,CDCB,ABAC,BBCC,BCDA,CABA,ACCA,BCCB,BBCB,CADA,BACBD
CDDA,DBDC,AADA,DBDC,DDBA,CBDC,BBAB,DDDA,CDCD,DABB,CDBA,CBAD,ABAD,ACBC,CACD,DCDC,BBCA,CBDA,BCBDA
BACC,BCCA,CCBB,DAAC,CDCD,DBBD,BADB,CDDC,ACCB,CACD,ADCD,CAAB,AAAB,BDDD,CDAC,CCBA,DCCB,CBAB,BCCCA
CABB,ABBD,DCDC,ACAC,BCDD,AAAC,DBAD,BBAB,BCCA,CBCD,CABC,ACBD,DABD,BBCB,CDCA,BDBB,ACDC,BACA,CCCCC
BBDB,AABD,ABDA,ABBC,BAAA,CCCD,ABDC,DCBB,ADBD,BABD,ABAA,BCBD,ACCC,DADC,ABDB,ADDC,DBDD,BCBA,AAAAB
DCAD,AABB,DCCB,BDAB,BCDC,CCAB,ABBB,ADDA,ACAD,DBDB,DACC,AACA,BBDC,CBCB,DCCB,BBAB,DCAB,CDDB,CBBAD
CCCA,CDDD,CDCC,ACDD,AAAA,BABD,BACA,CBDD,CDBA,CABC,DCAB,BCDB,BDBD,BADD,BBAA,DACB,BCBC,CABA,ACBDC
DAAD,BDDA,DACC,CDAA,DACB,CBBC,DABA,ABDB,ADDB,DDBB,CAAA,CBBC,CDBC,BCBC,CBAB,ADCB,DCBB,CCDB,BCAAA
