pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
B,,,A,D,ABDBD,,,,,,,,,,,CBAADDB,,CDBDA
,DCBCDBA,,,,,,CBCA,,,DCACDB,,,,,,,AC,CAAA
,DCBADB,,BCB,CABBADCC,,ACA,,AC,,C,ADBBB,,,CA,ABBA,,,AABBCC
,,,,,ACCBC,,,,,,DCCBBB,,BDABCB,,,AADAC,DCDCDDDCB,DBDA
,,ACDAB,DDDB,,B,,,CDC,,,,,,BBBB,,,DC,ADA
ADBA,,,,DCCABCAA,,,,DCB,,BBB,,,CCCCDB,DCAD,B,,,CBABB
CAA,CAA,DCAD,,,,,,,,,,,,BDCC,,CDCAA,,ABABC
,,,,,,,,A,ACCBBAD,,,B,,,C,DAA,,ADA
DCAC,,,BCDBBADCD,ADCA,,,BCDDAAC,,,,,CD,,,,DACC,,CA
AADDADADDBB,,C,CD,AA,,CD,,CAABDAA,,,,,,,C,BA,BDACCA,BA
ADBCD,,,,,,,,,ADBDB,,DAA,,,,,,,DABA
DADC,,,,BAA,,ACDABB,DDBCBD,CCBAC,,,,,,ACDBABB,,,A,CAAA
,,,,,,CDBBBCDBC,BBBAA,,,,,,,CCD,CDDBCD,,,DABCBBC
D,,,,CDAB,,CDCDBA,AB,DC,,BADBA,,,,,,CA,,BDDCDD
,,,,,,,,,,CDBBA,,,,C,ACDCBBA,CCCA,AADADCD,CAAA
,,DBCAAAADA,DAD,,,,,DCDCA,,BB,CDDAD,DACC,,,,A,AD,BBDCAC
,,,AA,,,,,,,,,BCCA,,,,,,DCDCB
,AABDCA,,BCDAADCC,,,DA,,BBDB,,,,CDAA,,,C,,CBB,DABCBDA
ABAA,,,,,,,,,,,DDCBBDBDD,,,ADBCADC,,,,A
C,,,,,,BADA,,A,,,,,BCB,CBBD,,,DC,DBBB
CD,CCADB,,,,,BCACAC,,,,,,,,,,,DBBC,BADACCADADB
BDACDCDD,,,ACBCCCAD,BDBC,BCA,,,,CCBCDB,ABAC,,,,,,,,BAAACB
DCBCC,,,,,,BCADCD,DBDBAADBD,,,,,,CCDDDAB,DBD,D,DADAB,CB,CDACCA
,,,CC,ADDABBBD,ABBAACA,CDB,BD,D,DDCCBBD,,,DDACA,CDCBADBB,,BCCCB,BACADCCADD,AADCDDCDC,BADCCD
,BDDDDAC,CBCD,CCADB,,DA,,,,B,,ACCA,,ADCAC,ACC,,CDCA,BCB,DCAB
CBDD,DBCDAD,,,,,,BACDCD,BBBADCD,CDBC,,DBAAA,,,,,,,ACDDB
ADDDAD,,,,,ADBBAADDDBA,,,,,D,BDACCC,,BBDC,,,,,CBCDCD
CADBDD,,,,,DCC,,,,,,DBBADC,AD,,,BABCC,,,ABCAA
,,,,CAADC,,BBBCCC,,,,DC,ABCC,,BCADD,,,,CCABD,BADBAABA
,,,CDBD,ADCDBA,DA,BAACAA,,DAADBBDDCC,D,,,BBBDC,,,,,,DACAC
,C,ACCDBA,BDCABCBD,,,,BCCB,,,,CCBD,,CD,,ADBCBDD,CACCB,,BBADAC
B,CAABDDC,,DAADBBCA,AABD,,,CBBD,,,,,A,,,CBBDDCBCD,,ACCCDAC,AABCAB
,,BA,,,,,ACDDDC,C,CCCCCBDB,,ABCCCDCA,ABDAD,,,,,DCDD,DCBBDBCD
DCAABD,DAA,,,,,,,ABAACD,CC,BCCDDDDBC,,,,,DD,AD,,CBCCDB
,DC,,AB,,,DCB,,,DCADBC,,,,CBA,,,,,CD
,CBABB,,,,DADDBCDBA,BA,DAADCDBC,,,,,ADD,,,,,ACBDCBDD,CDC
DBCBDDC,,,ADDD,,DBB,,,AADCABC,BCABAABC,BCBCA,,,DDC,,DA,CC,,AADA
,,,,,,DBDDD,,AAD,,,,,DC,,,,BBADDD,DCA
,,,,,CCABADA,,DDCDA,ABADBB,,,,ACCBBD,,CDDCA,BBADB,DBCD,BDBCBAAA,DAB
,C,,BAACD,,,,,,,,,,,DDB,ABCC,,,DAADCCCA
